Date,ActualReturn,sigma_EGARCH,VaR_95,ES_95,VaR_99,ES_99
2023-12-29,-0.3186465169195962,0.8175218471498129,-1.3447037753964368,-1.6863127845330472,-1.9018402110989083,-2.1788708524670515
2024-01-02,0.4246263291541208,0.8259918130910758,-1.3586356295950786,-1.7037838917592418,-1.9215442983595639,-2.20144512613955
2024-01-03,-0.8510634252278049,0.7847628914106664,-1.2908200882337588,-1.6187404669693406,-1.8256314840593468,-2.0915612177873992
2024-01-04,0.39984258314640364,0.9104578289314803,-1.4975698621043083,-1.8780130244323692,-2.1180416347385886,-2.4265651526933505
2024-01-05,0.4247494921949535,0.8572252294494003,-1.410010027774154,-1.7682094597037696,-1.9942040901037843,-2.284688871567738
2024-01-08,0.6337501554475988,0.8120729633637694,-1.335741159138126,-1.6750733021609556,-1.8891642118873506,-2.164348409915477
2024-01-09,-0.6337501554475988,0.783665829545519,-1.289015582045881,-1.6164775434094731,-1.82307933652167,-2.0886373129038094
2024-01-10,0.1588066404993871,0.8623999754435009,-1.418521727491103,-1.7788834745413986,-2.0062423494458614,-2.298480678177892
2024-01-11,-0.37096635405253764,0.8024089619432169,-1.3198452913506662,-1.655139242659012,-1.8666823827279204,-2.1385917759039783
2024-01-12,-0.18599526571452252,0.8247293059152756,-1.3565589900879114,-1.7011797020381487,-1.9186072674751795,-2.198080274061319
2024-01-16,-0.69389330387013,0.808015437735644,-1.3290671233922555,-1.6667037920810317,-1.8797249957684947,-2.1535342349119793
2024-01-17,-0.18764058102669345,0.8958248198806285,-1.473500704093801,-1.847829329250805,-2.084000165242319,-2.387565048884571
2024-01-18,0.16086086402724575,0.8698298755148374,-1.4307428255713277,-1.7942092245770447,-2.023526881681151,-2.3182829535037666
2024-01-19,1.594503742410991,0.8086756409031385,-1.3301530609668337,-1.6680656016101796,-1.8812608580036305,-2.155293817782303
2024-01-22,0.47343413741276485,0.8359532412904607,-1.3750207208984535,-1.7243314572871786,-1.944718045673613,-2.2279944662315043
2024-01-23,0.15731804555469964,0.7956133997093224,-1.3086675861630703,-1.641121949404944,-1.850873540972188,-2.120480146802958
2024-01-24,0.3922208937554128,0.743618935251524,-1.2231443027182611,-1.5338723016483538,-1.7299163291188966,-1.9819037607507688
2024-01-25,0.49460324266745737,0.7099496222809308,-1.1677632111616167,-1.4644221785639353,-1.6515897944693414,-1.8921678290322703
2024-01-26,0.3628790223955125,0.6859939199431204,-1.1283595872850996,-1.4150084445388982,-1.5958604972646209,-1.828320750503167
2024-01-29,0.2583823495284854,0.6573228644811456,-1.0811998977199435,-1.3558682912327271,-1.5291616483441488,-1.7519062457735883
2024-01-30,1.2565955091290437,0.6255888151378783,-1.0290020315598132,-1.290410061218297,-1.4553372101197317,-1.6673282061947567
2024-01-31,-1.2307868236856034,0.6573970540530466,-1.0813219287063667,-1.3560213230128706,-1.5293342390970166,-1.7521039768756201
2024-02-01,0.1546717026994493,0.9040515958275657,-1.487032546348238,-1.8647988053610465,-2.103138507976687,-2.409491169125947
2024-02-02,0.411319107527941,0.83667867868866,-1.3762139592340077,-1.725827826299489,-1.9464056654226638,-2.229927912301156
2024-02-05,-0.5917994956708306,0.7921255846252534,-1.3029306408719035,-1.6339275885608173,-1.8427596697663164,-2.11118437244296
2024-02-06,0.2062527112719703,0.8612346208353971,-1.416604889737279,-1.7764796826659752,-2.0035313292307957,-2.2953747585046287
2024-02-07,0.74404819460554,0.8031059347680556,-1.3209917096294888,-1.6565768974312913,-1.8683037839772483,-2.140449357787933
2024-02-08,-0.3841644147761336,0.7810348430011657,-1.284687994285941,-1.6110505737680558,-1.8169587465675836,-2.0816251701522606
2024-02-09,0.2818708498098843,0.80915162289343,-1.3309359816699282,-1.6690474157576969,-1.882368157694827,-2.1565624117514566
2024-02-12,0.45952439023877467,0.7616614122430472,-1.2528215364369566,-1.5710887500179265,-1.771889407110557,-2.0299908269988385
2024-02-13,-1.3591385066146433,0.7297710269695885,-1.2003665205550282,-1.505308043878017,-1.6977012771273032,-1.9449961186757099
2024-02-14,0.9507891274403324,0.9878551375671643,-1.6248771059299956,-2.0376614442217997,-2.298094699139695,-2.6328455602856686
2024-02-15,1.699044855151266,0.9544771490349789,-1.569975200432486,-1.9688122397876249,-2.220445886478086,-2.5438860706031488
2024-02-16,-0.35264160395769295,0.9705729021924845,-1.5964503583921246,-2.0020131559720897,-2.257890207617135,-2.5867847008057088
2024-02-20,-0.27795344235266306,0.965803486933275,-1.5886053684045762,-1.992175222032597,-2.246794888568455,-2.5740731874341294
2024-02-21,0.3031691797564129,0.9469242781760796,-1.5575518334063294,-1.9532328363335236,-2.2028752814125805,-2.523756051785575
2024-02-22,1.1537438935826483,0.8826357786262314,-1.4518066617504934,-1.8206241249366166,-2.0533178671595156,-2.3524134285806246
