Date,ActualReturn,sigma_GJR-GARCH,VaR_95,ES_95,VaR_99,ES_99
2023-12-29,-0.3186465169195962,0.8917922885629072,-1.4668677803300518,-1.8395113752550665,-2.0746190945843352,-2.3768174890725904
2024-01-02,0.4246263291541208,0.86846555220368,-1.4284987134246363,-1.7913950174095397,-2.0203529910467357,-2.3146467396137207
2024-01-03,-0.8510634252278049,0.8333922018623905,-1.3708081859064265,-1.7190487684583666,-1.9387601770447873,-2.2211687475289454
2024-01-04,0.39984258314640364,0.927724675156687,-1.525971296743853,-1.9136295692863643,-2.1582103257459884,-2.4725849967932954
2024-01-05,0.4247494921949535,0.8809242051926849,-1.4489913739805307,-1.8170936404942506,-2.04933615194112,-2.3478517187263703
2024-01-08,0.6337501554475988,0.8431277098120553,-1.3868216714676476,-1.7391303253937307,-1.9614083552661978,-2.247115961758682
2024-01-09,-0.6337501554475988,0.820876788155542,-1.3502221622779185,-1.6932330643139963,-1.9096449709751186,-2.187812488943942
2024-01-10,0.1588066404993871,0.8665008897901338,-1.4252671313279794,-1.7873424830866895,-2.0157825028177747,-2.3094104934109585
2024-01-11,-0.37096635405253764,0.8258608281331513,-1.3584201785119603,-1.7035137074089401,-1.9212395817811647,-2.2010960231670382
2024-01-12,-0.18599526571452252,0.8228511338494134,-1.353469671953339,-1.697305572463192,-1.9142379858826784,-2.1930745431631267
2024-01-16,-0.69389330387013,0.7994521381681942,-1.3149817490400637,-1.6490401643887302,-1.8598037820249829,-2.130711207131731
2024-01-17,-0.18764058102669345,0.8643388732043049,-1.4217109305052495,-1.7828828637850567,-2.0107529001296904,-2.3036482560617837
2024-01-18,0.16086086402724575,0.8325934348512314,-1.3694943310910321,-1.7174011415142345,-1.9369019671065233,-2.2190398623320613
2024-01-19,1.594503742410991,0.7977933390675599,-1.3122532673230016,-1.64561853823877,-1.8559448382637616,-2.1262901521800237
2024-01-22,0.47343413741276485,0.8723439962294919,-1.4348781861474211,-1.7993951335747824,-2.0293756010607695,-2.3249836237841297
2024-01-23,0.15731804555469964,0.8368452135477324,-1.376487884700967,-1.7261713398861944,-1.9467930834380207,-2.230371763375739
2024-01-24,0.3922208937554128,0.8012872852439272,-1.3180002973635725,-1.6528255457655046,-1.8640729725231668,-2.135602267214401
2024-01-25,0.49460324266745737,0.77714939221282,-1.278296996464389,-1.6030360046639953,-1.8079198363864253,-2.0712696114587077
2024-01-26,0.3628790223955125,0.7615185888112488,-1.2525866127971494,-1.5707941462959438,-1.7715571501236298,-2.029610171957411
2024-01-29,0.2583823495284854,0.7443534537852383,-1.2243524781925044,-1.5353874024351977,-1.7316250747482465,-1.9838614099919318
2024-01-30,1.2565955091290437,0.727487101115782,-1.1966097968307063,-1.500596960767973,-1.6923880710728336,-1.9389089670119293
2024-01-31,-1.2307868236856034,0.7815819276898553,-1.2855878685203819,-1.6121790523622073,-1.8182314558700372,-2.0830832680442897
2024-02-01,0.1546717026994493,1.0164327683478385,-1.6718831255692677,-2.0966088892413146,-2.3645762097514402,-2.7090110682261135
2024-02-02,0.411319107527941,0.9470927783462321,-1.5578289915223464,-1.9535804037925644,-2.20326727142519,-2.5242051408351958
2024-02-05,-0.5917994956708306,0.8951749859646217,-1.4724318224201414,-1.8464889085095053,-2.082488425493337,-2.385833102290767
2024-02-06,0.2062527112719703,0.9137003307752579,-1.5029033030224428,-1.8847013745138959,-2.125584822009434,-2.435207114716884
2024-02-07,0.74404819460554,0.8637767393952164,-1.4207863026705383,-1.7817233431775168,-2.0094451813379908,-2.3021500490400637
2024-02-08,-0.3841644147761336,0.8422892426815481,-1.3854425157669532,-1.7374008085049595,-1.9594577890396894,-2.2448812672391614
2024-02-09,0.2818708498098843,0.8378594009782404,-1.3781560745744466,-1.7282633172883162,-1.9491524362108619,-2.233074790137625
2024-02-12,0.45952439023877467,0.8032505414494095,-1.3212295664537952,-1.6568751794849714,-1.868640189422988,-2.1408347655714346
2024-02-13,-1.3591385066146433,0.7805228370359811,-1.2838458194170865,-1.6099944525061496,-1.8157676425789804,-2.080260564572949
2024-02-14,0.9507891274403324,1.0585019210839661,-1.7410807240300628,-2.1833854693911112,-2.4624436937818306,-2.8211343723363402
2024-02-15,1.699044855151266,1.010909440452516,-1.6627980596478045,-2.0852158500515703,-2.3517270276445266,-2.6942902161758675
2024-02-16,-0.35264160395769295,1.0408824210324126,-1.7120992254651932,-2.147041500972894,-2.421454607295236,-2.7741746302435564
2024-02-20,-0.27795344235266306,0.9918041428863105,-1.631372641652044,-2.0458071080705174,-2.3072814592684665,-2.643370505418478
2024-02-21,0.3031691797564129,0.9429003694191648,-1.5509330924929963,-1.9449326682043941,-2.1935142698305974,-2.5130314729452716
2024-02-22,1.1537438935826483,0.8888024837758083,-1.4619499890821153,-1.8333442666287707,-2.0676637685740706,-2.3688490188379565
2024-02-23,0.49752255376271926,0.8918946680504539,-1.4670361796014684,-1.8397225547352554,-2.0748572648875347,-2.377090352338672
2024-02-26,-0.49752255376271926,0.8531037617606367,-1.403230816697928,-1.759708055516429,-1.9846161225081012,-2.2737042772749496
