Date,ActualReturn,sigma_EGARCH,VaR_95,ES_95,VaR_99,ES_99
2023-12-29,-0.28992449404139364,0.601108164259802,-0.9887349441728766,-1.239913509115971,-1.3983866999943828,-1.6020820273511867
2024-01-02,-0.5612103667722579,0.6224274066380553,-1.0238019773226041,-1.283888983415949,-1.4479826741771937,-1.6589023753047063
2024-01-03,-0.8199989663125962,0.7020546458744973,-1.1547771305847983,-1.4481371096154159,-1.633223332890632,-1.871126025644549
2024-01-04,-0.3226425307868652,0.8310001233396289,-1.3668735668723093,-1.714114597452903,-1.9331953702588223,-2.2147933458338978
2024-01-05,0.13687015220043008,0.8253076088715727,-1.3575102138030535,-1.702372574952722,-1.919952601328113,-2.1996215753241097
2024-01-08,1.4175016009974506,0.7499256967975187,-1.2335180023215087,-1.5468813394631724,-1.7445880504335038,-1.9987126313074841
2024-01-09,-0.15182797494990297,0.7661454459788767,-1.2601971155907086,-1.5803380238341174,-1.7823208294590316,-2.0419417374760815
2024-01-10,0.5639558276373968,0.7355702714875643,-1.2099054289339992,-1.517270219819113,-1.7111923372827391,-1.9604523476322813
2024-01-11,-0.044069053813000636,0.698152756670279,-1.148359093975277,-1.4400886327804,-1.624146181235656,-1.8607266550512527
2024-01-12,0.0692407739593115,0.6557465683446048,-1.0786071213026045,-1.3526168450034597,-1.5254946351780483,-1.7477050788950035
2024-01-16,-0.367790366175047,0.5988731996972286,-0.9850587546060198,-1.2353034190884256,-1.3931873949356837,-1.5961253680170473
2024-01-17,-0.5574245623104268,0.6377302967342976,-1.048972991600248,-1.3154544508093466,-1.4835825200192678,-1.6996878556016004
2024-01-18,0.8853425196637232,0.7142661976906284,-1.1748633458802673,-1.47332603394609,-1.6616316504968283,-1.9036724271973913
2024-01-19,1.2389103004521118,0.7001337036503757,-1.1516174618002877,-1.4441747574872386,-1.6287545530313916,-1.8660063031123577
2024-01-22,0.21120518192470072,0.711629207065029,-1.1705258822855131,-1.467886679609389,-1.6554970929610995,-1.896644282283125
2024-01-23,0.29123285063681337,0.6553387227857627,-1.0779362750559072,-1.351775576745751,-1.5245458445292988,-1.7466180831118725
2024-01-24,0.10925727766766258,0.6121106518247309,-1.0068324257495385,-1.262608481130591,-1.423982313550216,-1.6314060136684132
