Date,ActualReturn,sigma_GJR-GARCH,VaR_95,ES_95,VaR_99,ES_99
2023-12-29,-0.28992449404139364,0.6474633803842637,-1.0649824895433166,-1.3355310071106727,-1.506225058476228,-1.7256286085533052
2024-01-02,-0.5612103667722579,0.6323023441360259,-1.0400448040820602,-1.3042581434663485,-1.470955214031884,-1.6852211991493238
2024-01-03,-0.8199989663125962,0.679588942955374,-1.117824337656264,-1.4017968164744832,-1.5809602926658965,-1.8112501147544373
2024-01-04,-0.3226425307868652,0.7903257823916985,-1.2999702296402451,-1.6302151134426832,-1.838572703666592,-2.1063875139362795
2024-01-05,0.13687015220043008,0.7534774637995778,-1.2393601391569322,-1.5542076147476018,-1.7528506960478323,-2.008178851228727
2024-01-08,1.4175016009974506,0.6935624269070593,-1.1408086734153418,-1.430620100787124,-1.6134674773498434,-1.848492442890243
2024-01-09,-0.15182797494990297,0.7623354301069303,-1.2539301971649948,-1.572479055298247,-1.7734574071352671,-2.0317872289944265
2024-01-10,0.5639558276373968,0.7104356929045916,-1.1685627261898999,-1.4654248026647134,-1.6527205638313283,-1.8934633113705435
2024-01-11,-0.044069053813000636,0.67346949185893,-1.107758736325326,-1.389174146322933,-1.566724320617387,-1.794940466671484
2024-01-12,0.0692407739593115,0.6277974435091159,-1.0326349019468313,-1.294965827246673,-1.4604752480357066,-1.6732146739372384
2024-01-16,-0.367790366175047,0.5861752653133554,-0.9641725111799141,-1.2091112272059215,-1.3636475822770502,-1.5622826527281304
2024-01-17,-0.5574245623104268,0.5990178061213185,-0.9852966110071645,-1.2356017006114437,-1.3935237997829377,-1.596510775114885
2024-01-18,0.8853425196637232,0.6551697277613574,-1.0776583029770774,-1.3514269885445054,-1.5241527033135502,-1.74616767516966
2024-01-19,1.2389103004521118,0.6581938040293656,-1.0826324657946884,-1.357664789393405,-1.5311877567105683,-1.7542274862425655
2024-01-22,0.21120518192470072,0.7088022313418993,-1.1658759210140195,-1.4620554405787771,-1.6489205639976316,-1.8891097863852677
2024-01-23,0.29123285063681337,0.6553445619629071,-1.0779458796476116,-1.3517876212912323,-1.524559428486635,-1.7466336457698333
2024-01-24,0.10925727766766258,0.6134114953671677,-1.0089721229684119,-1.2652917477661387,-1.4270085281596234,-1.6348730403761607
2024-01-25,0.5424083292647097,0.5739195360744278,-0.9440136304903288,-1.1838311775394423,-1.3351364926172506,-1.5296185088798326
2024-01-26,-0.12711545057664253,0.5600868064242692,-0.9212608149546263,-1.1552982289272724,-1.3029567514034226,-1.492751321110031
2024-01-29,0.7888095693230568,0.5394825576078534,-0.8873698415583341,-1.1127975810045818,-1.255024100973145,-1.437836584164976
2024-01-30,-0.07735270997564214,0.557492182097694,-0.9169930377204826,-1.1499462640981755,-1.2969207526173598,-1.4858360914583875
2024-01-31,-1.6452021314492526,0.5327685338401426,-0.8763262552125767,-1.0989484781890153,-1.2394049460548713,-1.4199422725435336
2024-02-01,1.3003147599585319,1.0574542218571812,-1.7393574121569313,-2.1812243667776063,-2.460006380912965,-2.818342029458468
2024-02-02,1.0472523763920272,1.0284176016869815,-1.691596422155566,-2.121330158465807,-2.3924571013106894,-2.740953216470072
2024-02-05,-0.36479361768799734,0.9772117040411599,-1.6073702156915304,-2.0157070975718563,-2.2733343701839797,-2.604478529898856
2024-02-06,0.28990996511062406,0.9140786488322024,-1.5035255808505492,-1.8854817360152665,-2.1264649214169182,-2.4362154133820657
2024-02-07,0.8305804378600179,0.8327654757661882,-1.369777313213983,-1.7177560125129312,-1.9373021941232813,-2.219498388225085
2024-02-08,0.04416510140750063,0.7958582481208897,-1.30907032596089,-1.6416270013593817,-1.8514431435538996,-2.1211327202712957
2024-02-09,0.5762824472143713,0.7290601686059806,-1.199197262597399,-1.5038417472270793,-1.6960475732843798,-1.9431015288563702
2024-02-12,-0.04391126191025663,0.6899005503085877,-1.134785422410897,-1.4230667010279447,-1.604948678509989,-1.8387327573068448
2024-02-13,-1.3868816318248989,0.6415772865368005,-1.05530072672974,-1.3233896859453198,-1.492531956567777,-1.7099409075287564
2024-02-14,0.9046689646543093,0.9862543684547571,-1.6222440750495408,-2.034359517271775,-2.294370753318216,-2.6285791676837906
2024-02-15,0.6875917613889726,0.9292605970658293,-1.52849766346682,-1.9167977350796834,-2.1617834144140144,-2.476678557706882
2024-02-16,-0.4992423999654605,0.8649885323404897,-1.4227795246916852,-1.7842229240057792,-2.012264233280005,-2.305379736829921
2024-02-20,-0.552050716000263,0.8457998150909712,-1.3912168935272686,-1.7446421111755588,-1.9676246017010173,-2.2542376947463096
2024-02-21,0.0905417391415142,0.8407519313635913,-1.3829138636698584,-1.734229776760284,-1.9558814681234213,-2.2407840032534443
2024-02-22,2.04842329008903,0.7683563066177574,-1.2638336577312559,-1.584898394389551,-1.7874640604060925,-2.047834154690029
2024-02-23,0.06894399534163043,0.9244166495190822,-1.5205300787757903,-1.906806062436114,-2.150514707336674,-2.4637683998226825
2024-02-26,-0.36692144952894523,0.8395577551370913,-1.3809496185724806,-1.7317665341634614,-1.9531033987976731,-2.2376012677929777
2024-02-27,0.18558991527735103,0.8028854210061905,-1.3206289967684923,-1.6561220408704607,-1.8677907922561368,-2.1398616413740283
2024-02-28,-0.13224591766238802,0.7373342502858417,-1.2128069158582113,-1.5209088014784913,-1.715295965609965,-1.9651537290098386
2024-02-29,0.3588451188289099,0.6882720363449016,-1.132106755311187,-1.419707544417845,-1.6011601885127222,-1.8343924187327971
2024-03-01,0.934454195051071,0.644430170632268,-1.0599933034814422,-1.329274366507375,-1.499168757418153,-1.7175444547889949
2024-03-04,-0.10729701735954222,0.6556752924439574,-1.0784898828789105,-1.3524698232903278,-1.5253288226381068,-1.74751511335103
2024-03-05,-1.0044495658969588,0.6181656121218094,-1.016791949155235,-1.2750981252843239,-1.4380682575647263,-1.6475437799558161
2024-03-06,0.5054421313091417,0.815171368584999,-1.3408375822040308,-1.6814644222936337,-1.8963721802866749,-2.1726063235714914
