Date,SPY,XLF
2016-01-05,0.16895307023361283,0.3843283888555149
2016-01-06,-1.269407770827513,-1.5463855674478832
2016-01-07,-2.4284346463275597,-2.8541908494881696
2016-01-08,-1.1037232521315055,-1.571290280358184
2016-01-11,0.09896312358534942,0.1356571466470502
2016-01-12,0.8036092171456843,0.7652585010314628
2016-01-13,-2.5256882762476174,-2.635364817843744
2016-01-14,1.6283551811548058,0.8710173712178637
2016-01-15,-2.169989022958063,-2.26180805305658
2016-01-19,0.13299351588909047,-0.04672590034444646
2016-01-20,-1.2898064035787193,-1.9811744967990208
2016-01-21,0.5586722368778219,-0.42970569101061784
2016-01-22,2.0307669066406575,1.801835732242374
2016-01-25,-1.5231956935193303,-2.041386393122835
2016-01-26,1.3550813521320926,1.6647330718709608
2016-01-27,-1.094279261632547,-0.37809082562381136
2016-01-28,0.5195629298938798,0.04739426677313752
2016-01-29,2.40848914177052,2.7539109178529753
2016-02-01,-0.03612708047286972,-0.4151876202845184
2016-02-02,-1.8187000818551624,-2.8131457915700153
2016-02-03,0.5977336243764952,0.09507013362495265
2016-02-04,0.15669042765038554,0.8514476630547385
2016-02-05,-1.9233853767360642,-1.3276368954466378
2016-02-08,-1.355251741693042,-2.5623960169930626
2016-02-09,0.00537422678679178,-0.14702565564923553
2016-02-10,-0.08628539591404305,-0.5409347180260315
2016-02-11,-1.3093176398839113,-3.1048997044962334
2016-02-12,2.040685923878627,4.135097813636701
2016-02-16,1.6737465054099232,1.5976857112725007
2016-02-17,1.6202887266315358,1.3359188796811416
2016-02-18,-0.410436501860012,-0.5703750098950966
2016-02-19,-0.04685113729312462,0.0
2016-02-22,1.4375200431260282,1.5607077226380106
2016-02-23,-1.2709804871514407,-1.799262414143099
2016-02-24,0.4564630336576059,-0.239200026521047
2016-02-25,1.2039265171418734,1.3793226070987874
2016-02-26,-0.2303338130486665,0.7060782781063146
2016-02-29,-0.7874071061076293,-1.084685649849515
2016-03-01,2.3234880847843087,3.3111253177409594
2016-03-02,0.4482414512157362,1.0948833655707535
2016-03-03,0.391197865511117,0.6782561546149424
2016-03-04,0.3248437562016093,0.40477560943665836
2016-03-07,0.07981560274412658,-0.04490275336466176
2016-03-08,-1.097785689719366,-1.6296996290194432
