,Mean(%),Std(%),Skewness,Kurtosis,Min(%),Max(%),Obs
SPY,0.05519008535314542,1.136886199848293,-0.6048175101415435,18.15402603049772,-11.588668404791047,9.986284608912044,2513.0
XLF,0.04957219984017911,1.4087078622462221,-0.5879802411263545,18.529100392671563,-14.744908184175953,12.360264959680078,2513.0
