Ticker,Model,AIC,BIC,LogLik
SPY,GJR-GARCH,5146.011522842691,5174.040972847957,-2568.0057614213456
SPY,EGARCH,5128.881370138335,5156.910820143601,-2559.4406850691676
XLF,GJR-GARCH,6343.1148288734075,6371.1442788786735,-3166.5574144367038
XLF,EGARCH,6341.701910746306,6369.731360751572,-3165.850955373153
