Ticker,Model,VaR Level,Expected Exception Rate,Observed Exceptions,Observed Exception Rate,Abs Error
SPY,GJR-GARCH,95%,0.050000000000000044,25,0.04970178926441352,0.0002982107355865224
SPY,GJR-GARCH,99%,0.010000000000000009,10,0.019880715705765408,0.0098807157057654
SPY,EGARCH,95%,0.050000000000000044,25,0.04970178926441352,0.0002982107355865224
SPY,EGARCH,99%,0.010000000000000009,12,0.02385685884691849,0.01385685884691848
XLF,GJR-GARCH,95%,0.050000000000000044,19,0.03777335984095427,0.012226640159045774
XLF,GJR-GARCH,99%,0.010000000000000009,9,0.017892644135188866,0.007892644135188857
XLF,EGARCH,95%,0.050000000000000044,23,0.04572564612326044,0.004274353876739606
XLF,EGARCH,99%,0.010000000000000009,10,0.019880715705765408,0.0098807157057654
