Ticker,Model,ES Level,Tail Obs (VaR breaches),Realized Tail Mean,Predicted ES Mean,ES Gap (Realized-Predicted),Abs ES Gap
SPY,GJR-GARCH,95%,25,-2.0963076753674414,-1.7580913011302761,-0.33821637423716533,0.33821637423716533
SPY,GJR-GARCH,99%,10,-2.3605835973706046,-1.7891073638900044,-0.5714762334806003,0.5714762334806003
SPY,EGARCH,95%,25,-2.0963076753674414,-1.7623329678947428,-0.33397470747269864,0.33397470747269864
SPY,EGARCH,99%,12,-2.6114951524000305,-2.2433497713583823,-0.3681453810416482,0.3681453810416482
XLF,GJR-GARCH,95%,19,-2.625838363008873,-2.1765791836710995,-0.4492591793377736,0.4492591793377736
XLF,GJR-GARCH,99%,9,-3.4286491725572867,-3.028593603131339,-0.4000555694259478,0.4000555694259478
XLF,EGARCH,95%,23,-2.381945357810327,-2.0180892372089163,-0.3638561206014108,0.3638561206014108
XLF,EGARCH,99%,10,-3.2706117946891267,-2.841392568436331,-0.42921922625279585,0.42921922625279585
