Ticker,Model,Parameter,Estimate,t-stat,p-value,AIC,BIC,LogLik
SPY,GJR-GARCH,mu,0.06245805139707088,4.073261127993683,4.635939655360169e-05,5146.011522842691,5174.040972847957,-2568.0057614213456
SPY,GJR-GARCH,omega,0.034604816709392895,3.747383129653146,0.000178689047013388,5146.011522842691,5174.040972847957,-2568.0057614213456
SPY,GJR-GARCH,alpha[1],0.09079923238569639,1.995680294125615,0.04596873336948129,5146.011522842691,5174.040972847957,-2568.0057614213456
SPY,GJR-GARCH,gamma[1],0.20020174857352752,3.5813147890790087,0.00034186944846556234,5146.011522842691,5174.040972847957,-2568.0057614213456
SPY,GJR-GARCH,beta[1],0.7860751370208009,22.678892264958165,7.238851218447779e-114,5146.011522842691,5174.040972847957,-2568.0057614213456
SPY,EGARCH,mu,0.05930359659819786,3.9357128687976797,8.295010134425906e-05,5128.881370138335,5156.910820143601,-2559.4406850691676
SPY,EGARCH,omega,-0.0031786320037322812,-0.3760815372928449,0.7068562795989417,5128.881370138335,5156.910820143601,-2559.4406850691676
SPY,EGARCH,alpha[1],0.2742478162087805,4.718066024555337,2.3809722919572473e-06,5128.881370138335,5156.910820143601,-2559.4406850691676
SPY,EGARCH,gamma[1],-0.14475595023291976,-5.24886447409067,1.5303960759189384e-07,5128.881370138335,5156.910820143601,-2559.4406850691676
SPY,EGARCH,beta[1],0.9520558218619141,83.7223917296011,0.0,5128.881370138335,5156.910820143601,-2559.4406850691676
XLF,GJR-GARCH,mu,0.05267700048645619,2.2582867275794554,0.023927789217232872,6343.1148288734075,6371.1442788786735,-3166.5574144367038
XLF,GJR-GARCH,omega,0.1005308897616456,3.786901041112777,0.00015253781399189869,6343.1148288734075,6371.1442788786735,-3166.5574144367038
XLF,GJR-GARCH,alpha[1],0.0670265572583828,2.129778867096754,0.033189874192082955,6343.1148288734075,6371.1442788786735,-3166.5574144367038
XLF,GJR-GARCH,gamma[1],0.20237079721320037,4.713855033837904,2.4307362499549923e-06,6343.1148288734075,6371.1442788786735,-3166.5574144367038
XLF,GJR-GARCH,beta[1],0.7766514971284709,18.892735819632225,1.3088355498183399e-79,6343.1148288734075,6371.1442788786735,-3166.5574144367038
XLF,EGARCH,mu,0.049686460396387015,2.106167401993061,0.03518981367254225,6341.701910746306,6369.731360751572,-3165.850955373153
XLF,EGARCH,omega,0.025912005116518755,2.357526518485225,0.01839714125253757,6341.701910746306,6369.731360751572,-3165.850955373153
XLF,EGARCH,alpha[1],0.2467336480099872,4.086643384308038,4.3765904791155795e-05,6341.701910746306,6369.731360751572,-3165.850955373153
XLF,EGARCH,gamma[1],-0.1365459946656968,-6.650196316882693,2.9270234025716805e-11,6341.701910746306,6369.731360751572,-3165.850955373153
XLF,EGARCH,beta[1],0.9443169063038279,59.947469390508786,0.0,6341.701910746306,6369.731360751572,-3165.850955373153
