Ticker,Model,Level,Mean VaR,Mean ES,Worst ES,Tail Realized Mean (Actual<VaR)
SPY,EGARCH,95%,-1.4801292529548917,-1.8561417969421103,-7.500330191934743,-2.096308149147546
SPY,EGARCH,99%,-2.093375048391985,-2.3983055198878045,-9.691114832892945,-2.611496271458935
SPY,GJR-GARCH,95%,-1.506923494919106,-1.8897428573413095,-8.924045316007847,-2.096308149147546
SPY,GJR-GARCH,99%,-2.131270656127922,-2.4417211731327466,-11.53068541227297,-2.3605859994121303
XLF,EGARCH,95%,-1.6951166184792743,-2.125744626673116,-8.314679448012969,-2.3819475677094406
XLF,EGARCH,99%,-2.397435782148719,-2.7466571144623484,-10.743328795849058,-3.270611841907063
XLF,GJR-GARCH,95%,-1.7350982977103317,-2.175883265433578,-9.788456512090503,-2.6258394724466196
XLF,GJR-GARCH,99%,-2.453982634072642,-2.811440836426359,-12.647583995362476,-3.42864922502166
